block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
s-block,Na-O,O,NaO2_1180346_POSCAR,-0.0879602030253648,7.3782467641,-0.1639824280079,-0.0760222249825351,6.6149798575,12.4666928084,35,local_max_drop,mp-1180346,NaO2,Orthorhombic,Pbca,61,0.020404291249999,-0.8873243708764371,False,0.0,True,2.478501489497432,24,294.72862720922325,12.28035946705097,172.55429708819267,0.5854683975632237,58.54683975632236
s-block,Na-O,O,Na2O2_2340_POSCAR,-0.0827145552583041,9.816588448,-0.1277717599398,-0.0450572046814958,8.589514892,15.031651061,35,local_max_drop,mp-2340,Na2O2,Hexagonal,P-62m,189,0.0,-1.2980963948563211,True,1.7361,False,2.6929727082185853,12,144.2488560880949,12.020738007341242,122.19016024385303,0.8470788854590965,84.70788854590965
s-block,Na-O,O,Na2O_776952_POSCAR,-0.0777618768508251,10.219740927,-0.11097001573513,-0.0332081388843048,9.29067357,15.174766831,35,local_max_drop,mp-776952,Na2O,Trigonal,P3,143,0.07951855111111,-1.346220134808429,False,1.5089,False,2.505816977035073,9,123.21544203220365,13.69060467024485,118.57737895770721,0.9623581022151084,96.23581022151085
s-block,Na-O,O,Na2O_1119338_POSCAR,-0.0773583234631796,10.5978627125,-0.11000860454222,-0.0326502810790403,9.3866784025,14.8370077975,35,local_max_drop,mp-1119338,Na2O,Hexagonal,P-62m,189,0.073434707777777,-1.352303978141761,False,1.621199999999999,False,2.725818592375247,9,113.27068794301812,12.58563199366868,118.57737895770721,1.0468496405474175,104.68496405474174
s-block,Na-O,O,Na2O_1974948_POSCAR,-0.0772933259353182,10.594698135,-0.10991782653136,-0.0326245005960417,9.383875491,14.832577389,35,local_max_drop,mp-1974948,Na2O,Trigonal,P321,150,0.073679147777777,-1.352059538141762,False,1.6226,False,2.7255985798114413,9,113.27983111444374,12.58664790160486,118.57737895770721,1.046765146020667,104.6765146020667
s-block,Na-O,O,Na2O_755072_POSCAR,-0.0539333665176588,8.499221248,-0.075820088572697,-0.0218867220550381,7.436818592,13.014432536,35,local_max_drop,mp-755072,Na2O,Orthorhombic,Pnnm,58,0.070141851666666,-1.355596834252872,False,1.0343,False,2.114311066787625,6,97.3541221495295,16.225687024921584,79.0515859718048,0.8120003984051829,81.20003984051829
s-block,Na-S,S,Na2S_556978_POSCAR,-0.1030999303781098,6.43902378,-0.16338505304282,-0.0602851226647101,5.580487276,10.517072174,35,local_max_drop,mp-556978,Na2S,Orthorhombic,Pnma,62,0.034994842499999,-1.234249691770833,False,2.1176,False,2.056907850397422,12,252.0210230878557,21.001751923987975,172.68232327201187,0.6851901526160141,68.51901526160141
s-block,Na-S,S,NaS2_12180_POSCAR,-0.0671463860885715,11.3240765052,-0.17027072920015,-0.1031243431115784,10.1107825939,19.817133884,35,local_max_drop,mp-12180,NaS2,Tetragonal,I-42d,122,0.0,-0.705851476458332,True,2.0185,False,2.162325110475751,24,535.2230508477976,22.300960451991568,230.87090240180189,0.4313545577607327,43.13545577607327
s-block,Na-S,S,NaS_409_POSCAR,-0.0649552554510592,10.595266248,-0.1241471750889,-0.0591919196378407,9.46005915,18.541715934,35,local_max_drop,mp-409,NaS,Hexagonal,P-62m,189,0.002286554999999,-1.001984056406249,False,0.8685,False,2.068232806991422,12,265.2136498066087,22.10113748388406,144.05888723645643,0.5431805163177039,54.318051631770395
s-block,Rb-O,O,Rb19O3_779582_POSCAR,-0.3113070302590912,21.9584303482,-0.40288165397682,-0.0915746237177288,19.1250844968,34.7084866794,35,local_max_drop,mp-779582,Rb19O3,Cubic,Fm-3c,226,0.042573455397726,-0.450836465340909,False,0.0,True,1.793841094507917,44,3095.2938824562257,70.34758823764149,1702.110610393781,0.5499027475359127,54.99027475359127
s-block,Rb-O,O,Rb16O3_1220248_POSCAR,-0.2443269739777535,21.7538747101,-0.31947318825247,-0.0751462142747164,18.9469231346,34.3851567999,35,local_max_drop,mp-1220248,Rb16O3,Orthorhombic,F222,22,0.072845440328946,-0.49847131,False,0.0,True,1.766531168177668,38,2661.107668930799,70.02914918238945,1434.497181790388,0.5390601810436148,53.90601810436147
s-block,Rb-O,O,Rb2O_776890_POSCAR,-0.167718733570183,24.154402554,-0.22340327449786,-0.0556845409276769,21.470580048,32.8768256985,35,local_max_drop,mp-776890,Rb2O,Orthorhombic,Pbca,61,0.014070498333333,-1.119097874999999,False,1.3448,False,3.9573671820220993,24,627.5139124315658,26.14641301798191,723.2698930387705,1.1525957890497727,115.25957890497726
s-block,Rb-O,O,Rb9O2_27561_POSCAR,-0.1318462697962369,13.904967549,-0.17436293189028,-0.042516662094043,11.798154284,20.646769997,35,local_max_drop,mp-27561,Rb9O2,Monoclinic,P2_1/m,11,0.0,-0.6578798943181801,True,0.0,True,1.9493406841007688,22,1365.0141880389845,62.04609945631748,807.6573275250403,0.5916841997703645,59.16841997703644
s-block,Rb-O,O,Rb6O_540855_POSCAR,-0.1147383306725928,13.634614448,-0.20614727892344,-0.0914089482508471,11.930287642,20.8780033735,35,local_max_drop,mp-540855,Rb6O,Hexagonal,P6_3/m,176,0.001051034821428,-0.51585459642857,False,0.0,True,1.820603394621344,28,1929.2578631984081,68.90206654280028,1075.2707561284333,0.557349422614664,55.7349422614664
s-block,Rb-O,O,Rb2O3_2571_POSCAR,-0.0911293922098491,12.6411721088,-0.13455627782294,-0.0434268856130908,11.4919746443,18.7702252524,35,local_max_drop,mp-2571,Rb2O3,Cubic,I-43d,220,0.052712337499999,-1.0238412645,False,0.0,True,3.520503752484265,20,413.06375915902555,20.65318795795128,371.2690299491071,0.8988177290232139,89.88177290232139
s-block,Rb-O,O,Rb2O_755738_POSCAR,-0.0877575582701604,13.2083986575,-0.11512582811816,-0.0273682698479994,11.7804636675,17.4922036275,35,local_max_drop,mp-755738,Rb2O,Orthorhombic,Pnma,62,0.031951658333333,-1.101216714999999,False,1.6455000000000002,False,4.328587598289292,12,286.8491057337499,23.90409214447916,361.63494651938504,1.2607149169746776,126.07149169746776
s-block,Rb-O,O,Rb2O3_1188205_POSCAR,-0.085805501805689,12.3880306948,-0.12435558039964,-0.0385500785939509,11.2618460861,18.3943486074,35,local_max_drop,mp-1188205,Rb2O3,Tetragonal,I-42d,122,0.067003469999999,-1.009550132,False,0.0,True,3.48133748492001,20,417.71087067750227,20.885543533875115,371.2690299491071,0.888818213772916,88.8818213772916
s-block,Rb-O,O,Rb2O_2023482_POSCAR,-0.0645091024884218,11.7959154483,-0.084509540945503,-0.0200004384570811,10.4478108256,16.5142816276,35,local_max_drop,mp-2023482,Rb2O,Trigonal,P-3m1,164,0.047853428888886,-1.019249274861111,False,0.7837000000000001,False,3.37719445240814,9,275.74326101844366,30.638140113160407,271.2262098895388,0.9836186345507724,98.36186345507724
s-block,Rb-O,O,Rb2O_776922_POSCAR,-0.0622402467213465,12.567758266,-0.081529900866502,-0.0192896541451554,11.08919847,18.112357501,35,local_max_drop,mp-776922,Rb2O,Trigonal,P3,143,0.002575112222221,-1.130593261111111,False,0.1921,False,2.9755505188420552,9,312.96346891163074,34.77371876795897,271.2262098895388,0.8666385595506132,86.66385595506132
s-block,Rb-S,S,Rb2S_1102384_POSCAR,-0.0908395282624128,8.4155491035,-0.12679391170365,-0.0359543834412372,7.3954825455,12.4958153355,35,local_max_drop,mp-1102384,Rb2S,Orthorhombic,Pnma,62,0.013809254166666,-1.14694151,False,1.9681,False,3.178686510964984,12,424.18832518455065,35.349027098712554,376.21409784778734,0.8869034707263778,88.69034707263778
s-block,Rb-S,S,Rb2S5_16911_POSCAR,-0.0671298106982537,9.89608734,-0.14842788035514,-0.0812980696568862,8.906478606,16.163609322,35,local_max_drop,mp-16911,Rb2S5,Orthorhombic,P2_12_12_1,19,0.0,-0.955290041071428,True,1.9539,False,2.621350498819616,28,839.3706492482418,29.977523187437207,453.7988700208407,0.5406418135150098,54.064181351500984
s-block,Rb-S,S,RbS_9062_POSCAR,-0.0651364789364117,13.8108549655,-0.10516064120663,-0.0400241622702182,12.474320614,21.8300610745,35,local_max_drop,mp-9062,RbS,Hexagonal,P-62m,189,0.0,-1.15946500333333,True,1.5781,False,2.796485592496512,12,418.7423097205509,34.89519247671257,296.707718168288,0.7085687576359239,70.85687576359238
s-block,Sr-O,O,SrO2_1545805_POSCAR,-0.0529707102085289,12.228559949,-0.083337477402698,-0.030366767194169,11.385210987,20.662049569,35,local_max_drop,mp-1545805,SrO2,Orthorhombic,Pnma,62,0.010419155833335,-2.194059977499996,False,2.9758,False,4.362472183198188,12,182.12763970377222,15.177303308647685,133.87150650858405,0.7350422304177663,73.50422304177663
s-block,Sr-O,O,SrO2_2763179_POSCAR,-0.0529467655088845,6.09880991,-0.08328400985683,-0.0303372443479454,5.67820233,10.30488571,35,local_max_drop,mp-2763179,SrO2,Orthorhombic,Pnma,62,0.011030372499999,-2.193448760833332,False,2.717399999999999,False,4.358726540180097,12,182.2841498944826,15.190345824540216,133.87150650858405,0.7344111190472523,73.44111190472523
